latitude,longitude,dist_from_water,dist_from_campsite,landcode,dist_from_road,label,month,year,county_cat
36.560760498,-118.7676010132,43,0.1330349702674653,52,0.1328837400603502,1,6,2006,41
37.7705963,-119.5107708,185,0.1338923002898525,52,0.1337411916209419,1,9,2007,19
37.7705963,-119.5107708,185,0.1338923002898525,52,0.1337411916209419,1,6,2009,19
37.6653421321,-119.7248840332,185,0.1339402450404022,42,0.1337890537950294,1,9,2007,19
39.4324806701,-122.9744338989,201,0.1361456829039566,52,0.1359941182379686,1,8,2011,13
41.7322580539,-124.076564312,273,0.1376372032374474,42,0.1374859431141712,1,4,2007,5
38.57647,-122.71056,201,0.1356558300863742,52,0.1355041143628692,1,11,2011,38
36.5967,-118.71633,43,0.1330281653202512,42,0.1328769577736936,1,6,2003,41
37.7326433916,-119.5606813453,185,0.133897575835394,52,0.1337464444235571,1,4,2009,19
37.980401,-119.791609,19,0.1341077672411525,42,0.1339566402388097,1,5,2009,42
37.87168,-119.64827,19,0.1339970741222372,42,0.1338459560451778,1,8,2011,42
39.4323778857,-120.2406726005,81,0.1349429382281511,42,0.1347920697949323,1,5,2012,24
39.4265550973,-120.3127274635,81,0.1349719390841254,42,0.1348210504875295,1,8,2012,24
36.5542173107,-118.7530328693,43,0.133025692870713,52,0.132874464739358,1,8,2012,41
36.555266,-118.747553,43,0.1330237413369448,52,0.1328725149002026,1,6,2005,41
38.887167,-121.060167,185,0.1350631893353082,42,0.1349119698544846,1,8,2012,27
38.7656997057,-120.7242770468,275,0.1348622116257077,42,0.1347110469657556,1,8,2012,7
36.466896243,-118.6498698046,43,0.1329420350741255,42,0.1327908109771347,1,8,2012,41
39.253313,-123.746703,290,0.1364093839130286,42,0.136257581738886,1,9,2012,20
37.7577043344,-119.8012218498,185,0.1340143126932072,52,0.1338631256396811,1,6,2010,19
34.1919423463,-118.1058034301,201,0.1317078684527283,22,0.1315561913128552,1,10,2012,15
34.1836188016,-118.0961608887,201,0.1316999750524509,22,0.1315482982201747,1,10,2012,15
37.7493400253,-119.5904302597,185,0.1339179753176045,52,0.1337668405346673,1,12,2012,19
38.5212756837,-122.7157114848,201,0.1356340773578337,71,0.1354823463421477,0,9,2012,38
39.041586261,-120.5529785156,185,0.1349080437638201,42,0.1347569940510055,1,8,2012,27
36.486367,-118.565752,43,0.1329135661508368,31,0.1327623689788858,1,5,2009,41
36.904002397,-118.595046401,319,0.1331096516284031,42,0.1329585556632731,1,8,2005,8
36.834226,-118.578272,319,0.1330716559573229,52,0.1329205461806495,1,8,2005,8
39.944032,-120.946305,180,0.1354772746857498,42,0.1353263554686179,1,5,2013,28
37.003478,-118.943224,275,0.1333063038293182,52,0.1331551432196047,0,6,2013,8
40.130476,-123.821657,273,0.1368246220476282,42,0.136673022336277,1,4,2013,10
40.132623,-123.827643,275,0.1368282046623603,42,0.1366766040031776,1,5,2013,10
40.133285,-123.829648,319,0.1368293797393618,42,0.1366777787483266,1,3,2013,10
38.595218,-119.676015,180,0.13432713172989,52,0.1341761936460109,1,7,2006,2
39.430956,-120.24314,81,0.1349433930023039,42,0.1347925235633177,1,6,2013,24
40.12865,-123.826342,348,0.1368258967699596,42,0.1366742954333646,1,4,2013,10
40.133538,-123.829641,288,0.1368294869863935,42,0.1366778860608395,1,4,2013,10
41.297799,-124.037683,348,0.1374298832178646,42,0.1372785235409492,1,3,2013,10
39.430509,-120.242542,81,0.1349429342978082,42,0.1347920648986019,1,4,2013,24
37.727787,-119.576369,185,0.133902339385094,52,0.1337512026587871,1,4,2012,19
37.449272,-119.649191,43,0.1338122376463988,71,0.1336610100257758,1,6,2013,17
38.879833,-119.979833,278,0.1345855064427623,22,0.1344345630947693,1,7,2013,7
36.57,-118.76,43,0.1330356748534923,52,0.1328844490230367,1,8,2010,41
34.6794706214,-119.2162313245,267,0.1324119233867968,42,0.132260088816344,1,11,2003,43
38.61143,-119.6973,180,0.1343435934631044,71,0.1341926540457096,1,7,2013,2
38.61178,-119.85833,180,0.134414360207145,42,0.1342633791163648,1,7,2013,2
40.117833,-123.818235,287,0.1368175952420294,42,0.1366659931963088,1,3,2013,10
34.053104,-116.566306,317,0.1309675594894351,52,0.130816246336472,1,8,2013,31
40.135217,-123.830203,347,0.1368304676996924,42,0.1366788670573758,1,7,2013,10
40.13509,-123.829874,330,0.1368302668689138,42,0.136678666276422,1,7,2013,10
37.7060488889,-119.5892169444,185,0.1338984494261299,52,0.1337473037505572,1,8,2013,19
40.133337,-123.829814,277,0.1368294758025577,42,0.1366778747833401,1,4,2005,10
40.133462,-123.828712,277,0.1368290431543044,42,0.1366774424406415,1,8,2013,10
40.128458,-123.831223,272,0.1368279708239615,42,0.1366763682251416,1,4,2013,10
36.789299,-118.672838,282,0.1330934986919643,52,0.132942352598876,1,3,2012,8
37.787403,-119.261599,19,0.1337902584136588,52,0.1336392187132128,0,8,1992,42
41.293479,-123.666959,271,0.1372646990406553,42,0.1371134311229545,1,8,2013,10
41.250524,-123.643814,285,0.1372356958755244,42,0.1370844229360852,1,8,2013,10
41.312629,-123.67066,285,0.1372747163140294,42,0.1371234522958194,1,8,2013,10
40.240922,-122.156639,185,0.1361389484688664,71,0.1359877953859905,0,8,2013,39
39.440709,-122.93691,201,0.1361326939557681,52,0.1359811407686728,1,9,2013,13
40.13169,-123.823745,272,0.1368260745574923,42,0.1366744746326961,1,8,2013,10
38.610106,-119.887001,180,0.1344262007316274,52,0.1342752117814752,1,9,2013,2
37.066038,-119.000376,273,0.1333588681990283,42,0.13320770902028,0,9,2013,8
