date,datatype,station,value
2018-01-05,PRCP,GHCND:USC00041697,0.0
2018-01-05,TMAX,GHCND:USC00041697,59.0
2018-01-05,TMIN,GHCND:USC00041697,40.0
2018-01-05,TMAX,GHCND:USR0000CBAR,57.0
2018-01-05,TMIN,GHCND:USR0000CBAR,50.0
2018-01-05,TMAX,GHCND:USR0000CCRE,52.0
2018-01-05,TMIN,GHCND:USR0000CCRE,32.0
2018-01-05,TMAX,GHCND:USR0000CDGR,49.0
2018-01-05,TMIN,GHCND:USR0000CDGR,39.0
2018-01-05,TMAX,GHCND:USR0000CHAY,53.0
2018-01-05,TMIN,GHCND:USR0000CHAY,37.0
2018-01-05,TMAX,GHCND:USR0000CHNM,52.0
2018-01-05,TMIN,GHCND:USR0000CHNM,37.0
2018-01-05,TMAX,GHCND:USR0000CSNL,72.0
2018-01-05,TMIN,GHCND:USR0000CSNL,47.0
2018-01-05,PRCP,GHCND:USS0019L39S,0.1
2018-01-05,TMAX,GHCND:USS0019L39S,53.0
2018-01-05,TMIN,GHCND:USS0019L39S,42.0
2018-01-06,PRCP,GHCND:US1CAAL0012,0.18
2018-01-06,PRCP,GHCND:US1CALA0046,0.0
2018-01-06,PRCP,GHCND:US1CAMP0008,0.6
2018-01-06,PRCP,GHCND:US1CASC0057,0.08
2018-01-06,PRCP,GHCND:US1CASD0053,0.0
2018-01-06,PRCP,GHCND:USC00041697,0.95
2018-01-06,TMAX,GHCND:USC00041697,57.0
2018-01-06,TMIN,GHCND:USC00041697,43.0
2018-01-06,TMAX,GHCND:USR0000CBAR,59.0
2018-01-06,TMIN,GHCND:USR0000CBAR,45.0
2018-01-06,TMAX,GHCND:USR0000CCRE,44.0
2018-01-06,TMIN,GHCND:USR0000CCRE,24.0
2018-01-06,TMAX,GHCND:USR0000CDGR,45.0
2018-01-06,TMIN,GHCND:USR0000CDGR,29.0
2018-01-06,TMAX,GHCND:USR0000CHAY,53.0
2018-01-06,TMIN,GHCND:USR0000CHAY,30.0
2018-01-06,TMAX,GHCND:USR0000CHNM,51.0
2018-01-06,TMIN,GHCND:USR0000CHNM,34.0
2018-01-06,TMAX,GHCND:USR0000CSNL,61.0
2018-01-06,TMIN,GHCND:USR0000CSNL,49.0
2018-01-06,PRCP,GHCND:USS0019L39S,1.4
2018-01-06,TMAX,GHCND:USS0019L39S,48.0
2018-01-06,TMIN,GHCND:USS0019L39S,28.0
2018-01-07,PRCP,GHCND:US1CAAL0012,0.0
2018-01-07,PRCP,GHCND:US1CALA0046,0.0
2018-01-07,PRCP,GHCND:US1CAMP0008,0.02
2018-01-07,PRCP,GHCND:US1CASC0057,0.0
2018-01-07,PRCP,GHCND:US1CASD0053,0.0
2018-01-07,PRCP,GHCND:USC00041697,0.54
2018-01-07,TMAX,GHCND:USC00041697,48.0
2018-01-07,TMIN,GHCND:USC00041697,30.0
2018-01-07,TMAX,GHCND:USR0000CBAR,48.0
2018-01-07,TMIN,GHCND:USR0000CBAR,42.0
2018-01-07,TMAX,GHCND:USR0000CCRE,53.0
2018-01-07,TMIN,GHCND:USR0000CCRE,18.0
2018-01-07,TMAX,GHCND:USR0000CDGR,49.0
2018-01-07,TMIN,GHCND:USR0000CDGR,27.0
2018-01-07,TMAX,GHCND:USR0000CHAY,43.0
2018-01-07,TMIN,GHCND:USR0000CHAY,30.0
2018-01-07,TMAX,GHCND:USR0000CHNM,48.0
2018-01-07,TMIN,GHCND:USR0000CHNM,30.0
2018-01-07,TMAX,GHCND:USR0000CSNL,64.0
2018-01-07,TMIN,GHCND:USR0000CSNL,49.0
2018-01-07,PRCP,GHCND:USS0019L39S,0.0
2018-01-07,TMAX,GHCND:USS0019L39S,51.0
2018-01-07,TMIN,GHCND:USS0019L39S,24.0
2018-01-08,PRCP,GHCND:US1CAAL0012,0.5
2018-01-08,PRCP,GHCND:US1CALA0046,0.0
2018-01-08,PRCP,GHCND:US1CAMP0008,0.3
2018-01-08,PRCP,GHCND:US1CASC0057,0.22
2018-01-08,PRCP,GHCND:US1CASD0053,0.0
2018-01-08,PRCP,GHCND:USC00041697,0.05
2018-01-08,TMAX,GHCND:USC00041697,52.0
2018-01-08,TMIN,GHCND:USC00041697,31.0
2018-01-08,TMAX,GHCND:USR0000CBAR,56.0
2018-01-08,TMIN,GHCND:USR0000CBAR,47.0
2018-01-08,TMAX,GHCND:USR0000CCRE,36.0
2018-01-08,TMIN,GHCND:USR0000CCRE,31.0
2018-01-08,TMAX,GHCND:USR0000CDGR,41.0
2018-01-08,TMIN,GHCND:USR0000CDGR,33.0
2018-01-08,TMAX,GHCND:USR0000CHAY,47.0
2018-01-08,TMIN,GHCND:USR0000CHAY,36.0
2018-01-08,TMAX,GHCND:USR0000CHNM,40.0
2018-01-08,TMIN,GHCND:USR0000CHNM,36.0
2018-01-08,TMAX,GHCND:USR0000CSNL,59.0
2018-01-08,TMIN,GHCND:USR0000CSNL,50.0
2018-01-08,PRCP,GHCND:USS0019L39S,0.2
2018-01-08,TMAX,GHCND:USS0019L39S,46.0
2018-01-08,TMIN,GHCND:USS0019L39S,38.0
2018-01-09,PRCP,GHCND:US1CAAL0012,2.22
2018-01-09,PRCP,GHCND:US1CALA0046,2.14
2018-01-09,PRCP,GHCND:US1CAMP0008,1.13
2018-01-09,PRCP,GHCND:US1CASC0057,1.75
2018-01-09,PRCP,GHCND:US1CASD0053,1.76
2018-01-09,PRCP,GHCND:USC00041697,2.39
2018-01-09,TMAX,GHCND:USC00041697,46.0
2018-01-09,TMIN,GHCND:USC00041697,40.0
2018-01-09,TMAX,GHCND:USR0000CBAR,56.0
2018-01-09,TMIN,GHCND:USR0000CBAR,47.0
2018-01-09,TMAX,GHCND:USR0000CCRE,38.0
2018-01-09,TMIN,GHCND:USR0000CCRE,27.0
2018-01-09,TMAX,GHCND:USR0000CDGR,44.0
2018-01-09,TMIN,GHCND:USR0000CDGR,32.0
2018-01-09,TMAX,GHCND:USR0000CHAY,52.0
2018-01-09,TMIN,GHCND:USR0000CHAY,35.0
2018-01-09,TMAX,GHCND:USR0000CHNM,39.0
2018-01-09,TMIN,GHCND:USR0000CHNM,32.0
2018-01-09,TMAX,GHCND:USR0000CSNL,59.0
2018-01-09,TMIN,GHCND:USR0000CSNL,53.0
2018-01-09,PRCP,GHCND:USS0019L39S,0.3
2018-01-09,TMAX,GHCND:USS0019L39S,44.0
2018-01-09,TMIN,GHCND:USS0019L39S,37.0
2018-01-10,PRCP,GHCND:US1CAAL0012,0.0
2018-01-10,PRCP,GHCND:US1CALA0046,1.5
2018-01-10,PRCP,GHCND:US1CAMP0008,1.14
